,trait,mean,sd
UKB_35BM_2021_LDL_direct_adjstatins,UKB_35BM_2021_LDL_direct_adjstatins,0.533118453,0.534145052
UKB_35BM_2021_Lipoprotein_A,UKB_35BM_2021_Lipoprotein_A,0.602575766,0.737496212
UKB_35BM_2021_Microalbumin_in_urine,UKB_35BM_2021_Microalbumin_in_urine,-0.054372207,0.061737771
UKB_35BM_2021_Non_albumin_protein,UKB_35BM_2021_Non_albumin_protein,-0.073179263,0.425544258
UKB_35BM_2021_Phosphate,UKB_35BM_2021_Phosphate,0.14185275,0.324681997
UKB_35BM_2021_Potassium_in_urine,UKB_35BM_2021_Potassium_in_urine,0.095788651,0.09905318
UKB_35BM_2021_SHBG,UKB_35BM_2021_SHBG,0.715385243,0.513512724
UKB_35BM_2021_Sodium_in_urine,UKB_35BM_2021_Sodium_in_urine,-0.067081372,0.152333779
UKB_35BM_2021_Testosterone,UKB_35BM_2021_Testosterone,0.246854938,0.221144159
UKB_35BM_2021_Total_bilirubin,UKB_35BM_2021_Total_bilirubin,0.684027023,0.7830797
UKB_35BM_2021_Total_protein,UKB_35BM_2021_Total_protein,0.199109226,0.382974376
UKB_35BM_2021_Triglycerides,UKB_35BM_2021_Triglycerides,-1.088766775,0.429854778
UKB_35BM_2021_Urate,UKB_35BM_2021_Urate,0.111631159,0.444950185
UKB_35BM_2021_Urea,UKB_35BM_2021_Urea,-0.137865494,0.284011667
UKB_35BM_2021_Vitamin_D,UKB_35BM_2021_Vitamin_D,-0.192893663,0.27766869
UKB_PPP_2022_CXCL8,UKB_PPP_2022_CXCL8,0.319343446,0.223730677
UKB_PPP_2022_ICAM1,UKB_PPP_2022_ICAM1,0.14953895,0.501928295
UKB_PPP_2022_IFNG,UKB_PPP_2022_IFNG,-0.04241325,0.107572879
UKB_PPP_2022_IL10,UKB_PPP_2022_IL10,-0.194740171,0.215553534
UKB_PPP_2022_IL12A_IL12B,UKB_PPP_2022_IL12A,1.807242078,0.704259918
UKB_PPP_2022_IL12B,UKB_PPP_2022_IL12B,1.868565172,0.725989816
UKB_PPP_2022_IL15,UKB_PPP_2022_IL15,-0.408378539,0.321580362
UKB_PPP_2022_IL1B,UKB_PPP_2022_IL1B,0.179522235,0.189035031
UKB_PPP_2022_IL2,UKB_PPP_2022_IL2,0.024710757,0.014728577
UKB_PPP_2022_IL4,UKB_PPP_2022_IL4,0.039311242,0.02048819
UKB_PPP_2022_IL5,UKB_PPP_2022_IL5,0.033321588,0.042311463
UKB_PPP_2022_IL6,UKB_PPP_2022_IL6,0.329730491,0.204538595
UKB_PPP_2022_TNF,UKB_PPP_2022_TNF,-0.349560342,0.181953434
UKB_PPP_2022_VCAM1,UKB_PPP_2022_VCAM1,-0.251939828,0.321775485
UKB_FA_2022_met.d.DHA_pct,UKB_FA_2022_met.d.DHA_pct,0.0464077,0.274751682
UKB_FA_2022_met.d.DHA,UKB_FA_2022_met.d.DHA,0.38336859,0.306530415
UKB_FA_2022_met.d.LA_pct,UKB_FA_2022_met.d.LA_pct,0.191411915,0.259855824
UKB_FA_2022_met.d.LA,UKB_FA_2022_met.d.LA,0.475086891,0.28718298
UKB_FA_2022_met.d.MUFA_pct,UKB_FA_2022_met.d.MUFA_pct,0.0349801,0.354298974
UKB_FA_2022_met.d.MUFA,UKB_FA_2022_met.d.MUFA,0.027245375,0.321098114
UKB_FA_2022_met.d.Omega_3_pct,UKB_FA_2022_met.d.Omega_3_pct,-0.231877579,0.340572548
UKB_FA_2022_met.d.Omega_3,UKB_FA_2022_met.d.Omega_3,-0.045114619,0.356040135
UKB_FA_2022_met.d.Omega_6_by_Omega_3,UKB_FA_2022_met.d.Omega_6_by_Omega_3,0.532913188,0.33869128
UKB_FA_2022_met.d.Omega_6_pct,UKB_FA_2022_met.d.Omega_6_pct,0.009172664,0.282519275
UKB_FA_2022_met.d.Omega_6,UKB_FA_2022_met.d.Omega_6,0.380143367,0.299729325
UKB_FA_2022_met.d.PUFA_by_MUFA,UKB_FA_2022_met.d.PUFA_by_MUFA,-0.111436835,0.329885279
UKB_FA_2022_met.d.PUFA_pct,UKB_FA_2022_met.d.PUFA_pct,-0.198381558,0.279439767
UKB_FA_2022_met.d.PUFA,UKB_FA_2022_met.d.PUFA,0.48633405,0.322056489
UKB_FA_2022_met.d.SFA_pct,UKB_FA_2022_met.d.SFA_pct,0.490699051,0.151970204
UKB_FA_2022_met.d.SFA,UKB_FA_2022_met.d.SFA,0.023173774,0.281482829
